CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
THEFT/LARCENY,11/17/2017 10:00:00 AM,17-060215,THEFT,06X,33RD ST & SAN PABLO AV,Oakland,CA,"33RD ST &amp; SAN PABLO AV
Oakland, CA
(37.824433, -122.277677)"
MOTOR VEHICLE THEFT,12/15/2017 01:30:00 AM,17-065150,VEHICLE THEFT - AUTO,12Y,400 61ST ST,Oakland,CA,"400 61ST ST
Oakland, CA
(37.847774, -122.256571)"
DUI,02/06/2018 09:38:00 AM,18-006614,DUI ALCOHOL/0.08 PERCENT,30Y,73RD AV & MACARTHUR BLVD,Oakland,CA,"73RD AV &amp; MACARTHUR BLVD
Oakland, CA
(37.769109, -122.171992)"
THEFT/LARCENY,12/06/2017 02:54:00 PM,17-919312,THEFT,03Y,800 JEFFERSON ST,Oakland,CA,"800 JEFFERSON ST
Oakland, CA
(37.80161, -122.277343)"
THEFT/LARCENY,01/15/2018 07:40:00 PM,18-002663,BURGLARY-AUTO,01X,3RD ST & CLAY ST,Oakland,CA,"3RD ST &amp; CLAY ST
Oakland, CA
(37.797687, -122.278331)"
ARSON,12/22/2017 01:00:00 AM,17-066622,MAL SET/ETC FIRE PROP/ETC - ALL OTHERS,02X,6TH ST & MARKET ST,Oakland,CA,"6TH ST &amp; MARKET ST
Oakland, CA
(37.802135, -122.282971)"
THEFT/LARCENY,01/09/2018 12:00:00 AM,18-001479,BURGLARY-AUTO,03Y,JEFFERSON ST & 8TH ST,Oakland,CA,"JEFFERSON ST &amp; 8TH ST
Oakland, CA
(37.80161, -122.277343)"
THEFT/LARCENY,12/01/2017 07:30:00 PM,17-062786,THEFT,04X,1600 SAN PABLO AV,Oakland,CA,"1600 SAN PABLO AV
Oakland, CA
(37.806489, -122.271925)"
THEFT/LARCENY,01/29/2018 07:00:00 AM,18-005092,BURGLARY-AUTO,17Y,2700 PARK BLVD,Oakland,CA,"2700 PARK BLVD
Oakland, CA
(37.802383, -122.241406)"
THEFT/LARCENY,11/25/2017 07:12:00 AM,17-061476,THEFT,17Y,9TH AV & E 22ND ST,Oakland,CA,"9TH AV &amp; E 22ND ST
Oakland, CA
(37.798102, -122.243157)"
DRUGS/ALCOHOL VIOLATIONS,11/17/2017 01:09:00 AM,17-060121,POSSESS NARCOTIC CONTROLLED SUBSTANCE,07X,3500 MAGNOLIA ST,Oakland,CA,"3500 MAGNOLIA ST
Oakland, CA
(37.826713, -122.281101)"
THEFT/LARCENY,12/18/2017 06:00:00 PM,17-919839,BURGLARY-AUTO,01X,400 WEBSTER ST,Oakland,CA,"400 WEBSTER ST
Oakland, CA
(37.796639, -122.272996)"
ROBBERY,11/30/2017 04:00:00 PM,17-062459,"SC ROBBERY - HANDS, FISTS, FEET, ETC, - AGGRAVATED",09X,FAIRMOUNT AV & W MACARTHUR BLVD,Oakland,CA,"FAIRMOUNT AV &amp; W MACARTHUR BLVD
Oakland, CA
(37.821427, -122.254676)"
MOTOR VEHICLE THEFT,01/07/2018 06:00:00 AM,18-001143,VEHICLE THEFT - AUTO,77X,18TH ST & SAN PABLO AV,Oakland,CA,"18TH ST &amp; SAN PABLO AV
Oakland, CA
(37.807937, -122.272504)"
MOTOR VEHICLE THEFT,02/10/2018 02:54:00 AM,18-007389,VEHICLE THEFT - AUTO,23X,3800 BLOCK OF WATTLING ST,Oakland,CA,"3800 BLOCK OF WATTLING ST
Oakland, CA
(37.771693, -122.221921)"
MOTOR VEHICLE THEFT,12/27/2017 09:03:00 PM,17-067487,VEHICLE THEFT - AUTO,23X,1200 39TH AV,Oakland,CA,"1200 39TH AV
Oakland, CA
(37.773388, -122.219744)"
THEFT/LARCENY,12/27/2017 09:00:00 PM,17-067412,THEFT,08X,400 FAIRMOUNT AV,Oakland,CA,"400 FAIRMOUNT AV
Oakland, CA
(37.819087, -122.256409)"
MOTOR VEHICLE THEFT,11/27/2017 03:13:00 PM,17-062228,VEHICLE THEFT - AUTO,25X,35TH AV. & MACARTHUR BLVD.,Oakland,CA,"35TH AV. &amp; MACARTHUR BLVD.
Oakland, CA
(37.793807, -122.200688)"
BURGLARY,01/04/2018 04:20:00 PM,18-000696,BURGLARY-FORCIBLE ENTRY,01X,CLAY ST & EMBARCADERO WEST,Oakland,CA,"CLAY ST &amp; EMBARCADERO WEST
Oakland, CA
(37.796373, -122.279176)"
ROBBERY,01/13/2018 12:50:00 AM,18-002159,ROBBERY-FIREARM,19X,17TH AV & INTERNATIONAL BLVD,Oakland,CA,"17TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.787708, -122.243133)"
DRUGS/ALCOHOL VIOLATIONS,01/18/2018 11:39:00 PM,18-003315,POSSESS NARCOTIC CONTROLLED SUBSTANCE,26X,1100 46TH AV,Oakland,CA,"1100 46TH AV
Oakland, CA
(37.769936, -122.213401)"
ASSAULT,02/06/2018 09:25:00 AM,18-006616,BATTERY,15X,BROOKLYN AV & LAKESHORE AV,Oakland,CA,"BROOKLYN AV &amp; LAKESHORE AV
Oakland, CA
(37.805208, -122.250541)"
ASSAULT,01/19/2018 04:00:00 AM,18-003334,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,1200 80TH AV,Oakland,CA,"1200 80TH AV
Oakland, CA
(37.754673, -122.184824)"
ASSAULT,01/21/2018 04:10:00 PM,18-003740,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26Y,70TH AV & INTERNATIONAL BLVD,Oakland,CA,"70TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.760364, -122.189523)"
THEFT/LARCENY,12/16/2017 01:29:00 PM,17-919843,THEFT,13Y,200 CALDECOTT LANE,Oakland,CA,"200 CALDECOTT LANE
Oakland, CA
(37.856443, -122.220213)"
DRUGS/ALCOHOL VIOLATIONS,12/09/2017 01:10:00 AM,17-064038,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,06X,35TH ST & SAN PABLO AV,Oakland,CA,"35TH ST &amp; SAN PABLO AV
Oakland, CA
(37.826417, -122.278438)"
DISTURBING THE PEACE,11/17/2017 10:30:00 AM,17-061011,DISTURB THE PEACE,12Y,5100 CORONADO AV,Oakland,CA,"5100 CORONADO AV
Oakland, CA
(37.835587, -122.254127)"
ASSAULT,12/26/2017 06:30:00 PM,17-067150,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21X,E 21ST ST & 25TH AV,Oakland,CA,"E 21ST ST &amp; 25TH AV
Oakland, CA
(37.78661, -122.228204)"
ASSAULT,02/04/2018 08:06:00 PM,18-006334,BATTERY,26Y,69TH AV & HAWLEY ST,Oakland,CA,"69TH AV &amp; HAWLEY ST
Oakland, CA
(37.756734, -122.19645)"
MOTOR VEHICLE THEFT,11/23/2017 07:36:00 AM,17-061187,VEHICLE THEFT - AUTO,25X,MOUNTAIN BLVD & HIGHWAY 13 OFF-RAMP,Oakland,CA,"MOUNTAIN BLVD &amp; HIGHWAY 13 OFF-RAMP
Oakland, CA
"
THEFT/LARCENY,01/24/2018 05:00:00 PM,18-004326,BURGLARY-AUTO,01X,2ND ST & WASHINGTON ST,Oakland,CA,"2ND ST &amp; WASHINGTON ST
Oakland, CA
(37.796569, -122.277599)"
DRUGS/ALCOHOL VIOLATIONS,11/26/2017 04:51:00 AM,17-061628,DISORDERLY CONDUCT:TOLUENE,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
THEFT/LARCENY,12/21/2017 12:00:00 AM,18-000452,BURGLARY-AUTO,30Y,74TH AV & HILLSIDE ST,Oakland,CA,"74TH AV &amp; HILLSIDE ST
Oakland, CA
(37.76769, -122.172803)"
ASSAULT,02/06/2018 10:06:00 PM,18-006758,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,24Y,4100 BROOKDALE AV,Oakland,CA,"4100 BROOKDALE AV
Oakland, CA
(37.783336, -122.205093)"
DISTURBING THE PEACE,01/29/2018 11:00:00 AM,18-005112,DISTURB THE PEACE,19X,20TH AV & MARIN WY,Oakland,CA,"20TH AV &amp; MARIN WY
Oakland, CA
(37.786251, -122.239584)"
THEFT/LARCENY,01/19/2018 11:20:00 AM,18-003683,THEFT,26Y,64TH AV & INTERNATIONAL BLVD,Oakland,CA,"64TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.76319, -122.195475)"
ROBBERY,01/13/2018 10:00:00 PM,18-002335,CARJACKING WITH FIREARM,35X,MURILLO AV & MIRASOL AV,Oakland,CA,"MURILLO AV &amp; MIRASOL AV
Oakland, CA
(37.756891, -122.152136)"
MOTOR VEHICLE THEFT,11/12/2017 08:00:00 PM,17-059393,VEHICLE THEFT - AUTO,34X,94TH AV & WALNUT ST,Oakland,CA,"94TH AV &amp; WALNUT ST
Oakland, CA
(37.748188, -122.170355)"
THEFT/LARCENY,02/03/2018 12:45:00 PM,18-006131,BURGLARY-AUTO,03X,BROADWAY & 10TH ST,Oakland,CA,"BROADWAY &amp; 10TH ST
Oakland, CA
(37.801579, -122.272967)"
MOTOR VEHICLE THEFT,01/24/2018 10:00:00 PM,18-004467,VEHICLE THEFT - AUTO,17Y,1300 E 28TH ST,Oakland,CA,"1300 E 28TH ST
Oakland, CA
(37.7992, -122.235368)"
MOTOR VEHICLE THEFT,12/07/2017 12:00:00 AM,17-063815,VEHICLE THEFT - AUTO,24Y,OVER ST & VIOLA ST,Oakland,CA,"OVER ST &amp; VIOLA ST
Oakland, CA
"
WEAPONS,11/29/2017 11:31:00 PM,17-062120,CARRY CONCEALED WEAPON IN VEH W/PRIOR CONVICTION,35X,CREST AV & FONTAINE ST,Oakland,CA,"CREST AV &amp; FONTAINE ST
Oakland, CA
(37.760956, -122.15208)"
DRUGS/ALCOHOL VIOLATIONS,11/18/2017 12:12:00 AM,17-060278,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,08X,500 24TH ST,Oakland,CA,"500 24TH ST
Oakland, CA
(37.813849, -122.268181)"
MOTOR VEHICLE THEFT,12/01/2017 09:45:00 AM,17-062718,VEHICLE THEFT - AUTO,31X,400 HEGENBERGER RD,Oakland,CA,"400 HEGENBERGER RD
Oakland, CA
(37.735772, -122.197083)"
SEX CRIMES,01/04/2018 08:55:00 PM,18-000732,DISORDERLY CONDUCT:PROSTITUTION,19X,17TH AV & INTERNATIONAL BLVD,Oakland,CA,"17TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.787708, -122.243133)"
VANDALISM,01/19/2018 10:15:00 AM,18-003362,VANDALISM,35X,2400 90TH AV,Oakland,CA,"2400 90TH AV
Oakland, CA
(37.754882, -122.162927)"
THEFT/LARCENY,02/10/2018 03:42:00 AM,18-007395,THEFT,16Y,1100 NORWOOD AVE,Oakland,CA,"1100 NORWOOD AVE
Oakland, CA
(37.808638, -122.224288)"
ASSAULT,12/09/2017 06:00:00 PM,17-064158,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,32X,101ST AV & C ST,Oakland,CA,"101ST AV &amp; C ST
Oakland, CA
(37.739893, -122.172804)"
VANDALISM,12/07/2017 06:30:00 PM,17-919372,VANDALISM,,EMBARCADERO W & JEFFERSON,Oakland,CA,"EMBARCADERO W &amp; JEFFERSON
Oakland, CA
(37.796842, -122.280361)"
DRUGS/ALCOHOL VIOLATIONS,11/26/2017 08:19:00 AM,17-062953,DISORDERLY CONDUCT:TOLUENE,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
THEFT/LARCENY,12/01/2017 10:00:00 AM,17-062862,THEFT,02X,7TH ST & UNION ST,Oakland,CA,"7TH ST &amp; UNION ST
Oakland, CA
(37.804273, -122.290388)"
THEFT/LARCENY,01/31/2018 08:00:00 AM,18-005561,THEFT,26X,HIGH ST & INTERNATIONAL BLVD,Oakland,CA,"HIGH ST &amp; INTERNATIONAL BLVD
Oakland, CA
(37.772377, -122.214811)"
ASSAULT,01/19/2018 06:01:00 PM,18-003418,THREAT CRIME:INT:TERRORIZE,05X,1500 ADELINE ST,Oakland,CA,"1500 ADELINE ST
Oakland, CA
(37.810432, -122.285816)"
MOTOR VEHICLE THEFT,01/19/2018 12:00:00 PM,18-004277,VEHICLE THEFT - AUTO,03X,9TH ST & FRANKLIN ST,Oakland,CA,"9TH ST &amp; FRANKLIN ST
Oakland, CA
(37.800422, -122.272102)"
WEAPONS,12/31/2017 08:07:00 PM,17-067918,POSS/ETC FIREARM: SPEC FELONY CONVICTION: MINOR AS ADULT,03Y,12TH ST & CLAY ST,Oakland,CA,"12TH ST &amp; CLAY ST
Oakland, CA
(37.803901, -122.274483)"
ROBBERY,02/10/2018 02:30:00 AM,18-007387,ROBBERY-FIREARM,33X,IFO 9103 D STREET,Oakland,CA,"IFO 9103 D STREET
Oakland, CA
"
ASSAULT,12/29/2017 11:34:00 PM,17-067686,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24Y,3600 MANGELS AV,Oakland,CA,"3600 MANGELS AV
Oakland, CA
(37.79056, -122.204374)"
THEFT/LARCENY,11/18/2017 04:00:00 PM,17-060692,BURGLARY-AUTO,09X,100 41ST ST,Oakland,CA,"100 41ST ST
Oakland, CA
(37.826131, -122.251347)"
MOTOR VEHICLE THEFT,12/24/2017 02:10:00 PM,17-066852,VEHICLE THEFT - AUTO,17Y,STUART ST & E 31ST ST,Oakland,CA,"STUART ST &amp; E 31ST ST
Oakland, CA
(37.799276, -122.231413)"
THEFT/LARCENY,12/31/2017 06:00:00 PM,18-000024,GRAND THEFT,26X,45TH AV & INTERNATIONAL BLVD,Oakland,CA,"45TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.771437, -122.212946)"
BURGLARY,01/31/2018 03:38:00 AM,18-005444,BURGLARY-FORCIBLE ENTRY,10Y,5700 ADELINE ST,Oakland,CA,"5700 ADELINE ST
Oakland, CA
(37.841619, -122.274312)"
DRUGS/ALCOHOL VIOLATIONS,01/17/2018 12:30:00 PM,18-003015,POSSESS NARCOTIC CONTROLLED SUBSTANCE,26Y,1200 66TH AV,Oakland,CA,"1200 66TH AV
Oakland, CA
(37.760151, -122.196322)"
MOTOR VEHICLE THEFT,02/06/2018 10:00:00 AM,18-007411,VEHICLE THEFT - AUTO,08X,PARKING GARAGE OF 3009 HARRISON ST,Oakland,CA,"PARKING GARAGE OF 3009 HARRISON ST
Oakland, CA
"
THEFT/LARCENY,02/10/2018 04:00:00 PM,18-007510,THEFT,77X,00,Oakland,CA,"00
Oakland, CA
"
ASSAULT,02/06/2018 09:10:00 PM,18-006759,ASSAULT,16X,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810277, -122.245433)"
ASSAULT,01/02/2018 08:10:00 PM,18-000332,BATTERY,14X,EUCLID AV & GRAND AV,Oakland,CA,"EUCLID AV &amp; GRAND AV
Oakland, CA
(37.808592, -122.251696)"
ASSAULT,02/03/2018 12:10:00 AM,18-006038,BATTERY,08X,24TH ST & TELEGRAPH AV,Oakland,CA,"24TH ST &amp; TELEGRAPH AV
Oakland, CA
(37.81347, -122.268584)"
MOTOR VEHICLE THEFT,01/27/2018 07:30:00 PM,18-004953,VEHICLE THEFT - AUTO,03Y,7TH ST & CLAY ST,Oakland,CA,"7TH ST &amp; CLAY ST
Oakland, CA
(37.800453, -122.276606)"
ROBBERY,11/22/2017 05:30:00 PM,17-061176,ROBBERY-KNIFE OR CUTTING INSTRUMENT,03X,12TH ST & OAK ST,Oakland,CA,"12TH ST &amp; OAK ST
Oakland, CA
(37.799685, -122.263738)"
VANDALISM,01/13/2018 05:30:00 PM,18-002311,VANDALISM,04X,14TH ST & FRANKLIN ST,Oakland,CA,"14TH ST &amp; FRANKLIN ST
Oakland, CA
(37.803843, -122.269973)"
ROBBERY,02/09/2018 03:39:00 AM,18-007223,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,500 INTERNATIONAL BLVD,Oakland,CA,"500 INTERNATIONAL BLVD
Oakland, CA
(37.795747, -122.253838)"
MOTOR VEHICLE THEFT,01/04/2018 03:00:00 PM,18-000667,VEHICLE THEFT - AUTO,05X,W GRAND AV & FILBERT ST,Oakland,CA,"W GRAND AV &amp; FILBERT ST
Oakland, CA
(37.814785, -122.280786)"
DRUGS/ALCOHOL VIOLATIONS,12/29/2017 03:39:00 PM,17-067621,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,24X,1900 35TH AV,Oakland,CA,"1900 35TH AV
Oakland, CA
(37.782416, -122.218871)"
MOTOR VEHICLE THEFT,12/10/2017 05:00:00 PM,17-064617,VEHICLE THEFT - AUTO,27X,2000 VICKSBURG AV,Oakland,CA,"2000 VICKSBURG AV
Oakland, CA
(37.773498, -122.202951)"
SEX CRIMES,01/25/2018 12:34:00 AM,18-004358,LOITER:INTENT:PROSTITUTION,20X,27TH AV & INTERNATIONAL BLVD,Oakland,CA,"27TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.780761, -122.231457)"
DRUGS/ALCOHOL VIOLATIONS,11/14/2017 11:21:00 PM,17-059718,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,31Z,GRAMERCY PL & KNIGHT ST,Oakland,CA,"GRAMERCY PL &amp; KNIGHT ST
Oakland, CA
(37.729663, -122.181268)"
ARSON,01/04/2018 11:26:00 PM,18-000736,MAL SET/ETC FIRE PROP/ETC,05X,W GRAND AV & SAN PABLO AV,Oakland,CA,"W GRAND AV &amp; SAN PABLO AV
Oakland, CA
(37.812801, -122.273932)"
ASSAULT,12/14/2017 11:00:00 PM,17-065095,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,2300 SAN PABLO AV,Oakland,CA,"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
ASSAULT,02/09/2018 11:41:00 AM,18-007277,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,1300 83RD AVE.,Oakland,CA,"1300 83RD AVE.
Oakland, CA
(37.753998, -122.180039)"
THEFT/LARCENY,12/11/2017 11:48:00 AM,17-064399,THEFT,26Y,1100 SEMINARY AV,Oakland,CA,"1100 SEMINARY AV
Oakland, CA
(37.761532, -122.204613)"
ROBBERY,02/08/2018 09:10:00 PM,18-007202,ROBBERY-FIREARM,02Y,8T H ST&MANDELA PKWY,Oakland,CA,"8T H ST&amp;MANDELA PKWY
Oakland, CA
"
DUI,02/10/2018 01:29:00 PM,18-007449,DUI ALCOHOL/DRUGS,27X,4500 BLK OF FOOTHILL BLVD,Oakland,CA,"4500 BLK OF FOOTHILL BLVD
Oakland, CA
"
ASSAULT,01/31/2018 11:59:00 AM,18-005527,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,19X,1700 INTERNATIONAL BLVD,Oakland,CA,"1700 INTERNATIONAL BLVD
Oakland, CA
(37.787527, -122.242832)"
DUI,01/10/2018 09:55:00 PM,18-001753,DUI ALCOHOL/DRUGS,33X,85TH AV & A ST,Oakland,CA,"85TH AV &amp; A ST
Oakland, CA
(37.752483, -122.178936)"
ASSAULT,01/15/2018 04:16:00 PM,18-002617,BATTERY,23X,42ND AV & FOOTHILL BLVD,Oakland,CA,"42ND AV &amp; FOOTHILL BLVD
Oakland, CA
(37.775605, -122.212831)"
ROBBERY,01/16/2018 04:45:00 PM,18-002829,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,300 7TH ST,Oakland,CA,"300 7TH ST
Oakland, CA
(37.798102, -122.270623)"
THEFT/LARCENY,12/28/2017 09:00:00 AM,17-067421,THEFT,18X,2000 16TH AV,Oakland,CA,"2000 16TH AV
Oakland, CA
(37.79267, -122.240071)"
WEAPONS,12/28/2017 06:29:00 PM,17-067531,CARRY CONCEALED WEAPON IN VEHICLE,02X,900 MARKET ST,Oakland,CA,"900 MARKET ST
Oakland, CA
(37.803997, -122.282416)"
ASSAULT,02/01/2018 01:10:00 PM,18-005474,BATTERY,34X,98TH AV & BANCROFT AV,Oakland,CA,"98TH AV &amp; BANCROFT AV
Oakland, CA
(37.748366, -122.161952)"
ARSON,01/12/2018 04:35:00 PM,18-002099,MAL SET/ETC FIRE PROP/ETC,31Y,NEVADA ST & WALTER AV,Oakland,CA,"NEVADA ST &amp; WALTER AV
Oakland, CA
(37.737619, -122.183387)"
ASSAULT,12/30/2017 12:42:00 AM,17-067695,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,10Y,800 47TH ST,Oakland,CA,"800 47TH ST
Oakland, CA
(37.835377, -122.269547)"
MOTOR VEHICLE THEFT,12/22/2017 06:00:00 PM,17-066650,VEHICLE THEFT - AUTO,01X,2ND ST & HARRISON ST,Oakland,CA,"2ND ST &amp; HARRISON ST
Oakland, CA
(37.794666, -122.272799)"
ASSAULT,01/23/2018 01:38:00 AM,18-003980,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,32X,100TH AV & INTERNATIONAL BLVD,Oakland,CA,"100TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.742761, -122.169243)"
MOTOR VEHICLE THEFT,01/27/2018 05:00:00 PM,18-005610,SC STOLEN VEHICLE - AUTO,14X,200 LENOX AV,Oakland,CA,"200 LENOX AV
Oakland, CA
(37.812396, -122.258505)"
THEFT/LARCENY,11/14/2017 10:00:00 AM,17-059700,THEFT,09X,FAIRMOUNT AV & MOSS AV,Oakland,CA,"FAIRMOUNT AV &amp; MOSS AV
Oakland, CA
(37.821427, -122.254676)"
ASSAULT,12/17/2017 11:10:00 PM,17-065575,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,100TH AV & INTERNATIONAL BLVD,Oakland,CA,"100TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.742761, -122.169243)"
ROBBERY,12/25/2017 12:55:00 PM,17-066938,ATTEMPTED ROBBERY-STRONG-ARM,09X,LINDA AV & PIEDMONT AV,Oakland,CA,"LINDA AV &amp; PIEDMONT AV
Oakland, CA
(37.827333, -122.251182)"
THEFT/LARCENY,01/20/2018 02:15:00 PM,18-003562,THEFT,35X,84TH AV & DOWLING ST,Oakland,CA,"84TH AV &amp; DOWLING ST
Oakland, CA
(37.759261, -122.167514)"
MOTOR VEHICLE THEFT,11/26/2017 07:00:00 PM,17-061790,VEHICLE THEFT - AUTO,23X,38T H AV&INTERNATIONAL BLVD,Oakland,CA,"38T H AV&amp;INTERNATIONAL BLVD
Oakland, CA
"
MOTOR VEHICLE THEFT,11/16/2017 09:15:00 PM,17-060084,VEHICLE THEFT - AUTO,30X,OLIVE ST & RITCHIE ST,Oakland,CA,"OLIVE ST &amp; RITCHIE ST
Oakland, CA
(37.761477, -122.173849)"
DUI,02/10/2018 04:11:00 PM,18-007477,DUI:ALCOHOL/DRUGS,24X,41ST AVE&FOOTHILL BLVD,Oakland,CA,"41ST AVE&amp;FOOTHILL BLVD
Oakland, CA
"
BURGLARY,11/17/2017 01:45:00 PM,17-060285,BURGLARY-NO FORCE,22X,3400 CHAMPION ST,Oakland,CA,"3400 CHAMPION ST
Oakland, CA
(37.798562, -122.215306)"
DRUGS/ALCOHOL VIOLATIONS,12/02/2017 11:14:00 AM,17-062821,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,20X,1400 MILLER AV,Oakland,CA,"1400 MILLER AV
Oakland, CA
(37.78274, -122.234878)"
THEFT/LARCENY,12/31/2017 06:30:00 PM,18-900804,BURGLARY-AUTO,03X,BROADWAY & 14TH ST,Oakland,CA,"BROADWAY &amp; 14TH ST
Oakland, CA
(37.804316, -122.271185)"
THEFT/LARCENY,01/21/2018 12:28:00 PM,18-003723,BURGLARY-AUTO,03X,13TH ST & BROADWAY,Oakland,CA,"13TH ST &amp; BROADWAY
Oakland, CA
(37.803663, -122.271636)"
VANDALISM,11/18/2017 12:00:00 AM,17-060339,VANDALISM,02X,ADELINE ST & 7TH ST,Oakland,CA,"ADELINE ST &amp; 7TH ST
Oakland, CA
(37.803784, -122.288216)"
ASSAULT,01/19/2018 12:09:00 PM,18-003377,BATTERY,22Y,3500 35TH AV,Oakland,CA,"3500 35TH AV
Oakland, CA
(37.793353, -122.201228)"
ROBBERY,12/08/2017 10:30:00 PM,17-064009,CARJACKING WITH FIREARM,03X,13TH ST & BROADWAY,Oakland,CA,"13TH ST &amp; BROADWAY
Oakland, CA
(37.803663, -122.271636)"
ROBBERY,11/27/2017 02:00:00 PM,17-061888,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,7TH ST & FRANKLIN ST,Oakland,CA,"7TH ST &amp; FRANKLIN ST
Oakland, CA
(37.799026, -122.272977)"
ASSAULT,12/15/2017 10:25:00 AM,17-065164,BATTERY,06X,800 37TH ST,Oakland,CA,"800 37TH ST
Oakland, CA
(37.826713, -122.271956)"
THEFT/LARCENY,02/07/2018 02:00:00 AM,18-006406,GRAND THEFT,32X,1300 107TH AV,Oakland,CA,"1300 107TH AV
Oakland, CA
(37.736989, -122.168086)"
ASSAULT,11/18/2017 11:00:00 AM,17-060342,BATTERY,04X,1400 CLAY ST,Oakland,CA,"1400 CLAY ST
Oakland, CA
(37.805597, -122.273393)"
ASSAULT,01/30/2018 01:54:00 PM,18-005345,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,32Y,10100 STANLEY AV,Oakland,CA,"10100 STANLEY AV
Oakland, CA
(37.747423, -122.150752)"
ASSAULT,01/18/2018 07:00:00 AM,18-003153,BATTERY,27X,45TH AV & BANCROFT AV,Oakland,CA,"45TH AV &amp; BANCROFT AV
Oakland, CA
(37.772654, -122.212)"
THEFT/LARCENY,12/02/2017 12:00:00 AM,17-063186,THEFT,06X,27TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,"27TH ST &amp; MARTIN LUTHER KING JR WY
Oakland, CA
(37.817015, -122.271627)"
THEFT/LARCENY,02/09/2018 12:00:00 AM,18-007297,BURGLARY-AUTO,33X,85TH AV & G ST,Oakland,CA,"85TH AV &amp; G ST
Oakland, CA
(37.749268, -122.18561)"
MOTOR VEHICLE THEFT,12/03/2017 07:00:00 PM,17-063396,VEHICLE THEFT - AUTO,35X,86TH AV & DOWLING ST,Oakland,CA,"86TH AV &amp; DOWLING ST
Oakland, CA
(37.757732, -122.166383)"
MOTOR VEHICLE THEFT,11/30/2017 07:00:00 PM,17-062606,VEHICLE THEFT - AUTO,21X,2300 FOOTHILL BLVD,Oakland,CA,"2300 FOOTHILL BLVD
Oakland, CA
(37.78506, -122.233801)"
ROBBERY,01/19/2018 07:15:00 PM,18-003428,ROBBERY-FIREARM,26X,45TH AV & SAN LEANDRO ST,Oakland,CA,"45TH AV &amp; SAN LEANDRO ST
Oakland, CA
(37.769392, -122.215631)"
THEFT/LARCENY,11/14/2017 02:00:00 PM,17-059438,THEFT,31Y,EDES AV & 85TH AV,Oakland,CA,"EDES AV &amp; 85TH AV
Oakland, CA
(37.739026, -122.192878)"
ROBBERY,02/08/2018 01:19:00 AM,18-007002,ROBBERY-FIREARM,03Y,8TH ST & JEFFERSON ST,Oakland,CA,"8TH ST &amp; JEFFERSON ST
Oakland, CA
(37.80161, -122.277343)"
THEFT/LARCENY,12/30/2017 01:30:00 PM,18-900872,BURGLARY-AUTO,01X,2ND ST & WEBSTER ST,Oakland,CA,"2ND ST &amp; WEBSTER ST
Oakland, CA
(37.795113, -122.273933)"
ROBBERY,02/09/2018 07:12:00 PM,18-007342,ROBBERY-FIREARM,26X,1200 46TH AV,Oakland,CA,"1200 46TH AV
Oakland, CA
(37.770801, -122.212029)"
